timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729816167401,2518,Formulario-textbox-119-1,200,OK,Usuarios 1-120,text,true,,3436,116,974,974,https://demoqa.com/text-box,2518,0,1147
1729816166596,3323,Formulario-textbox-25,200,OK,Usuarios 1-25,text,true,,3827,398,973,973,https://demoqa.com/text-box,501,0,279
1729816166596,501,Formulario-textbox-25-0,301,Moved Permanently,Usuarios 1-25,text,true,,391,282,973,973,http://demoqa.com/text-box,501,0,279
1729816167100,2819,Formulario-textbox-25-1,200,OK,Usuarios 1-25,text,true,,3436,116,973,973,https://demoqa.com/text-box,2819,0,1448
1729816166796,3124,Formulario-textbox-126,200,OK,Usuarios 1-127,text,true,,3827,401,972,972,https://demoqa.com/text-box,607,0,249
1729816166796,607,Formulario-textbox-126-0,301,Moved Permanently,Usuarios 1-127,text,true,,391,285,972,972,http://demoqa.com/text-box,607,0,249
1729816167403,2517,Formulario-textbox-126-1,200,OK,Usuarios 1-127,text,true,,3436,116,972,972,https://demoqa.com/text-box,2517,0,1148
1729816166610,3310,Formulario-textbox-59,200,OK,Usuarios 1-59,text,true,,3827,401,971,971,https://demoqa.com/text-box,581,0,285
1729816166610,581,Formulario-textbox-59-0,301,Moved Permanently,Usuarios 1-59,text,true,,391,285,971,971,http://demoqa.com/text-box,581,0,285
1729816167192,2728,Formulario-textbox-59-1,200,OK,Usuarios 1-59,text,true,,3436,116,971,971,https://demoqa.com/text-box,2728,0,1359
1729816166853,3067,Formulario-textbox-148,200,OK,Usuarios 1-150,text,true,,3827,404,971,971,https://demoqa.com/text-box,609,0,206
1729816166853,609,Formulario-textbox-148-0,301,Moved Permanently,Usuarios 1-150,text,true,,391,288,971,971,http://demoqa.com/text-box,609,0,206
1729816167462,2458,Formulario-textbox-148-1,200,OK,Usuarios 1-150,text,true,,3436,116,971,971,https://demoqa.com/text-box,2458,0,1088
1729816166874,3046,Formulario-textbox-157,200,OK,Usuarios 1-159,text,true,,3827,418,970,970,https://demoqa.com/text-box,589,0,219
1729816166874,589,Formulario-textbox-157-0,301,Moved Permanently,Usuarios 1-159,text,true,,391,302,970,970,http://demoqa.com/text-box,589,0,219
